# SKINS PARA O PROJETO TRABALHO PMD
# Formato: ID;NOME;JOGO;RARIDADE


# ==================== VALORANT ====================

1;Vandal Prime;Valorant;Premium
2;Phantom Oni;Valorant;Premium
3;Vandal Reaver;Valorant;Premium
4;Operator Elderflame;Valorant;Ultra
5;Judge Elderflame;Valorant;Ultra
6;Sheriff Ion;Valorant;Premium
7;Operator Ion;Valorant;Premium
8;Vandal RGX 11Z Pro;Valorant;Premium
9;Phantom RGX 11Z Pro;Valorant;Premium
10;Vandal Gaia's Vengeance;Valorant;Premium
11;Ghost Gaia's Vengeance;Valorant;Premium
12;Phantom Protocol 781-A;Valorant;Premium
13;Odin Reaver;Valorant;Premium
14;Ghost Sovereign;Valorant;Premium
15;Vandal Sentinels of Light;Valorant;Premium
16;Phantom Singularity;Valorant;Premium
17;Sheriff Singularity;Valorant;Premium
18;Vandal Prelude to Chaos;Valorant;Exclusive
19;Operator Prelude to Chaos;Valorant;Exclusive
20;Classic Spectrum;Valorant;Exclusive
21;Phantom Spectrum;Valorant;Exclusive
22;Vandal Neptune;Valorant;Premium
23;Guardian Neptune;Valorant;Premium
24;Vandal Champions 2021;Valorant;Exclusive
25;Phantom Champions 2022;Valorant;Exclusive
26;Vandal Champions 2023;Valorant;Exclusive
27;Vandal Araxys;Valorant;Exclusive
28;Phantom Araxys;Valorant;Exclusive
29;Operator Forsaken;Valorant;Premium
30;Vandal Forsaken;Valorant;Premium
31;Sheriff Magepunk;Valorant;Premium
32;Operator Magepunk;Valorant;Premium
33;Phantom Oni 2.0;Valorant;Premium
34;Vandal Black.Market;Valorant;Premium
35;Phantom Black.Market;Valorant;Premium
36;Vandal Kuronami;Valorant;Exclusive
37;Sheriff Kuronami;Valorant;Exclusive
38;Operator Kuronami;Valorant;Exclusive
39;Vandal Imperium;Valorant;Exclusive
40;Judge Imperium;Valorant;Exclusive
41;Phantom Champions 2024;Valorant;Exclusive
42;Vandal Xerofang;Valorant;Premium
43;Phantom Xerofang;Valorant;Premium
44;Vandal Gaia's Vengeance 2.0;Valorant;Premium
45;Ghost Reaver;Valorant;Premium
46;Sheriff Reaver;Valorant;Premium
47;Spectre Reaver;Valorant;Premium
48;Vandal Ion;Valorant;Premium
49;Phantom Reaver;Valorant;Premium
50;Vandal Sovereign;Valorant;Premium
51;Guardian Sovereign;Valorant;Premium
52;Vandal Origin;Valorant;Premium
53;Operator Origin;Valorant;Premium
54;Bucky Origin;Valorant;Premium
55;Vandal Glitchpop;Valorant;Exclusive
56;Classic Glitchpop;Valorant;Exclusive
57;Operator Glitchpop;Valorant;Exclusive
58;Phantom Glitchpop;Valorant;Exclusive
59;Vandal BlastX;Valorant;Premium
60;Phantom BlastX;Valorant;Premium
61;Spectre BlastX;Valorant;Premium
